language,level,question_text,option1,option2,option3,option4,correct_answer
C++,Beginner,How to print in C++?,cout,cin,printf,print,cout
C++,Beginner,Which header is for I/O?,iostream,stdio.h,conio.h,math.h,iostream
C++,Beginner,Operator for input?,>>,<<,<,>,>>
C++,Beginner,C++ is an extension of?,C language,Java,Python,C#,C language
C++,Beginner,Standard namespace in C++?,std,main,iostream,namespace,std
C++,Beginner,Keyword for boolean?,bool,boolean,TRUE,FALSE,bool
C++,Beginner,What is 'endl'?,New line,End program,End loop,Error,New line
C++,Beginner,How to create an object?,ClassName obj;,obj ClassName;,new obj;,create obj;,ClassName obj;
C++,Beginner,Access modifier by default?,private,public,protected,internal,private
C++,Beginner,Constructor name is same as?,Class name,Method name,Variable name,None,Class name
C++,Beginner,Destructor starts with?,~,!,@,#,~
C++,Beginner,Keyword for inheritance?,: (colon),extends,implements,using,: (colon)
C++,Beginner,Operator for output?,<<,>>,<,>,<<
C++,Beginner,Which is used for comments?,//,#,--,%%,//
C++,Beginner,Can C++ run C code?,Yes,No,Partial,Machine dependent,Yes
C++,Beginner,What is a 'Class'?,Blueprint/Template,Variable,Function,Loop,Blueprint/Template
C++,Beginner,Keyword to create a class?,class,struct,define,object,class
C++,Beginner,Size of 'double' in C++?,8 bytes,4 bytes,2 bytes,1 byte,8 bytes
C++,Intermediate,What is 'Function Overloading'?,Same name diff params,Diff name same params,Error,None,Same name diff params
C++,Intermediate,Keyword for parent class?,base,super,parent,None,None
C++,Intermediate,What is 'this' pointer?,Current object,Parent object,Static object,Global object,Current object
C++,Intermediate,What is 'Encapsulation'?,Data hiding,Data sharing,Code splitting,Debugging,Data hiding
C++,Intermediate,Virtual' function purpose?,Runtime Polymorphism,Compile time,Fast speed,Memory save,Runtime Polymorphism
C++,Intermediate,Keyword for constant?,const,final,static,fixed,const
C++,Intermediate,What is 'Abstraction'?,Hiding details,Hiding data,Showing all,None,Hiding details
C++,Intermediate,Purpose of 'friend' function?,Access private data,Speed up,Error check,None,Access private data
C++,Intermediate,Multiple inheritance allowed?,Yes,No,Only for classes,Only for int,Yes
C++,Intermediate,What is 'Inline' function?,Replaces call with code,Recursive func,Static func,None,Replaces call with code
C++,Intermediate,Operator for dynamic memory?,new,malloc,create,alloc,new
C++,Intermediate,Operator to delete memory?,delete,free,remove,clear,delete
C++,Intermediate,What is 'Operator Overloading'?,Redefining operators,Deleting operators,Sorting data,None,Redefining operators
C++,Intermediate,Purpose of 'protected'?,Accessible in child,Private only,Public everywhere,None,Accessible in child
C++,Intermediate,What is a 'Template'?,Generic programming,String type,Loop type,Error type,Generic programming
C++,Intermediate,Which block handles errors?,catch,try,throw,except,catch
C++,Intermediate,Keyword to signal error?,throw,catch,error,try,throw
C++,Intermediate,Static members belong to?,Class,Object,Function,Package,Class
C++,Intermediate,What is a 'Namespace'?,Groups related code,File name,Loop type,Variable,Groups related code
C++,Intermediate,Pure Virtual function ends with?,0,;,{ },: 0,0
C++,Advanced,What is 'STL'?,Standard Template Lib,Static Tool Link,String Type List,None,Standard Template Lib
C++,Advanced,Vector is a part of?,STL,Math.h,String.h,Iostream,STL
C++,Advanced,What is 'RAII'?,Resource Acquisition,Resource Analysis,Runtime Access,None,Resource Acquisition
C++,Advanced,Purpose of 'smart pointers'?,Automatic memory mgmt,Fast speed,Security,None,Automatic memory mgmt
C++,Advanced,What is 'Lambda' in C++11?,Anonymous function,Variable type,Class type,Math tool,Anonymous function
C++,Advanced,Keyword for type inference?,auto,var,decltype,let,auto
C++,Advanced,What is 'Move Semantics'?,Efficient data transfer,Data copy,Data delete,None,Efficient data transfer
C++,Advanced,Purpose of 'explicit'?,Prevent conversion,Allow conversion,Fast speed,None,Prevent conversion
C++,Advanced,What is 'RTTI'?,Runtime Type Info,Resource Tool,Runtime Tool,None,Runtime Type Info
C++,Advanced,Dynamic_cast used for?,Polymorphic types,Int to Float,String to Int,None,Polymorphic types
C++,Advanced,What is 'Mangled Name'?,Internal compiler name,Variable name,Function name,Error name,Internal compiler name
C++,Advanced,Purpose of 'mutable'?,Modify in const func,Deleting data,Speed up,None,Modify in const func
C++,Advanced,What is 'Diamond Problem'?,Multiple inheritance,Memory leak,Slow code,Syntax error,Multiple inheritance
C++,Advanced,Keyword for move constructor?,&&,&,*,**,&&
C++,Advanced,What is 'Perfect Forwarding'?,Preserving value types,Copying data,Deleting data,None,Preserving value types
C++,Advanced,Purpose of 'override'?,Check virtual func,Stop inheritance,Fast speed,None,Check virtual func
C++,Advanced,Purpose of 'final' in C++11?,Stop inheritance,Start inheritance,Constant,None,Stop inheritance
C++,Advanced,What is 'constexpr'?,Compile-time constant,Runtime variable,Loop type,None,Compile-time constant
C++,Advanced,Unique_ptr belongs to?,Memory header,Iostream,Vector,Math,Memory header
C++,Advanced,What is 'Copy Elision'?,Optimization,Error,Deletion,Sorting,Optimization
