topic,question,option_a,option_b,option_c,option_d,correct,explanation,difficulty
Number System,Remainder 1234 / 9?,1,2,3,4,A,"Sum of digits = 10, rem 1",Medium
Number System,Unit digit of 23^23?,1,3,7,9,C,Power cycle of 3,Medium
Number System,Sum of even numbers 1 to 20?,100,110,120,130,B,10 * 11 = 110,Medium
Number System,Prime numbers between 1 to 50?,12,15,18,20,B,Total is 15,Medium
Number System,49 is multiple of which prime?,3,5,7,11,C,7 * 7 = 49,Medium
Number System,Sum of squares of first 5 numbers?,50,55,60,65,B,1+4+9+16+25 = 55,Hard
Number System,HCF of 72 and 108?,12,24,36,72,C,"36 * 2 = 72, 36 * 3 = 108",Hard
Number System,Divisors of 100?,7,8,9,10,C,(2+1)*(2+1) = 9,Hard
Number System,Place value - Face value of 5 in 1567?,500,495,450,5,B,500 - 5 = 495,Hard
Number System,"If x + 1/x = 3, x^2 + 1/x^2 = ?",7,9,11,5,A,3^2 - 2 = 7,Hard
LCM & HCF,HCF of 12 and 18?,3,6,9,12,B,Highest factor is 6,Easy
LCM & HCF,LCM of 4 and 6?,6,12,18,24,B,Smallest multiple is 12,Easy
LCM & HCF,"Product of 2 numbers is 100, HCF is 5. LCM?",10,20,25,50,B,100 / 5 = 20,Easy
LCM & HCF,HCF of two prime numbers?,0,1,2,3,B,Always 1,Easy
LCM & HCF,"LCM of 10, 15, 20?",30,40,60,120,C,Smallest multiple is 60,Easy
LCM & HCF,"Ratio 2:3, HCF is 4. Numbers?","8,12","4,6","10,15","12,18",A,"24=8, 34=12",Medium
LCM & HCF,"Least square number div by 3, 4, 5?",900,1600,3600,400,C,"LCM is 60, square is 3600",Medium
LCM & HCF,HCF of 1/2 and 3/4?,1/2,1/4,3/2,3/4,B,HCF(Num)/LCM(Den) = 1/4,Medium
LCM & HCF,"3 bells ring at 6, 8, 12s. Together?",12s,24s,36s,48s,B,"LCM(6,8,12) = 24",Medium
LCM & HCF,"Greates 3-digit number div by 10, 15?",990,960,945,900,A,"Multiples of 30, max 990",Medium
LCM & HCF,"HCF(a,b)=12, a*b=720. LCM?",30,60,120,180,B,720 / 12 = 60,Hard
LCM & HCF,"Greatest number dividing 122, 150 rem 2?",4,8,12,16,A,"HCF(120, 148)",Hard
LCM & HCF,"LCM of 0.6, 1.2, 0.18?",1.8,3.6,7.2,12,B,"LCM(60, 120, 18) / 100",Hard
LCM & HCF,HCF of x^2-y^2 and x-y?,x+y,x-y,1,0,B,(x-y)(x+y) and (x-y),Hard
LCM & HCF,"Smallest number +7 div by 12, 18?",29,36,43,50,A,36 - 7 = 29,Hard
Average,"Avg of 10, 20, 30?",15,20,25,30,B,60 / 3 = 20,Easy
Average,Avg of first 5 natural numbers?,2,3,4,5,B,15 / 5 = 3,Easy
Average,"Avg of 5, 0, 10?",5,7.5,10,0,A,15 / 3 = 5,Easy
Average,Avg weight of 3 boys is 40kg. Total?,80,100,120,140,C,40 * 3 = 120,Easy
Average,Avg of first 10 even numbers?,10,11,12,13,B,n + 1 = 11,Easy
Average,"Avg of 5 numbers is 20. One added, avg 21?",21,25,26,30,C,(621) - (520) = 26,Medium
Average,"Avg of 1, 3, 5, 7, 9?",4,5,6,7,B,Middle term 5,Medium
Average,"A batsman scores 80 in 10th inn, avg +2. New avg?",60,62,80,100,B,80 - (9*2) = 62,Medium
Average,"Avg age of class 20 is 15. Teacher added, 16?",30,35,36,40,C,(2116) - (2015) = 36,Medium
Average,Avg of prime numbers between 1 to 10?,4,4.25,4.5,5,B,(2+3+5+7)/4 = 4.25,Medium
Average,"Avg of 7 numbers is 12. If each * 2, new avg?",12,14,24,36,C,12 * 2 = 24,Hard
Average,"Avg speed: 20kmph going, 30kmph back?",24,25,26,27,A,2xy/(x+y) = 1200/50 = 24,Hard
Average,"Avg of 50 numbers is 38. Two (45, 55) removed?",36.5,37,37.5,38.5,C,Total reduction 100,Hard
Average,3 numbers avg 60. First is 1/4 of sum of others?,30,36,42,45,B,x + 4x = 180 -> x=36,Hard
Average,"Avg age of A, B, C is 25. A:B:C = 3:5:7. Age of B?",15,25,35,45,B,15x = 75 -> x=5; 5*5=25,Hard
Percentage,50% of 100?,25,50,75,100,B,Half of 100,Easy
Percentage,Write 1/4 as percentage?,10%,20%,25%,50%,C,0.25 * 100,Easy
Percentage,10% of what is 20?,100,150,200,250,C,20 / 0.1,Easy
Percentage,What is 200% of 5?,5,10,15,20,B,2 * 5 = 10,Easy
Percentage,15 is what % of 60?,15%,20%,25%,30%,C,15/60 = 1/4,Easy
Percentage,Price 100 increases to 120. % change?,10%,20%,25%,30%,B,20/100 * 100,Medium
Percentage,20% of 30% of 500?,30,50,60,100,A,0.2 * 150 = 30,Medium
Percentage,Student gets 40/50. Find %?,75%,80%,85%,90%,B,4/5 * 100 = 80,Medium
Percentage,Salary 10000 reduced by 10%. New?,9000,9500,8000,8500,A,10000 - 1000,Medium
Percentage,"If A is 25% more than B, B is how much % less?",20%,25%,15%,10%,A,25/125 * 100 = 20,Medium
Percentage,Number increases 20% then decreases 20%. Net?,0%,4% dec,4% inc,2% dec,B,1.2 * 0.8 = 0.96,Hard
Percentage,Pop increases 10% yearly. After 2 years?,20%,21%,25%,10%,B,1.1 * 1.1 = 1.21,Hard
Percentage,30% of A = 40% of B. Ratio A:B?,3:4,4:3,1:1,07:10,B,30A = 40B -> A/B = 4/3,Hard
Percentage,"Price reduced 20%, sales increase 80%. Net?",44% inc,44% dec,60% inc,100% inc,A,0.8 * 1.8 = 1.44,Hard
Percentage,25% of a number is 10 less than 30% of it. Num?,100,200,300,400,B,5% = 10 -> 100% = 200,Hard
Ratio & Proportion,"If A:B = 2:3 and B:C = 4:5, find A:C.",08:15,2:5,06:15,1:2,A,(24):(35) = 8:15,Easy
Ratio & Proportion,Divide 100 in ratio 2:3.,"40, 60","30, 70","20, 80","50, 50",A,2x+3x=100 -> x=20,Easy
Ratio & Proportion,"Fourth proportional to 4, 9, 12?",18,27,36,45,B,4/9 = 12/x -> x=27,Easy
Ratio & Proportion,Mean proportional between 4 and 9?,5,6,6.5,7,B,sqrt(4*9) = 6,Easy
Ratio & Proportion,Ratio of 500ml to 2 liters?,1:2,1:4,2:1,4:1,B,500:2000 = 1:4,Easy
Ratio & Proportion,"If 2A = 3B = 4C, find A:B:C.",02:03:04,04:03:02,06:04:03,03:04:06,C,"LCM(2,3,4)=12; 12/2:12/3:12/4",Medium
Ratio & Proportion,Duplicate ratio of 3:4?,6:8,09:16,12:16,3:2,B,3^2 : 4^2,Medium
Ratio & Proportion,"Income A:B = 5:4, Expen = 3:2. Both save 800. A income?",1600,1800,2000,2200,C,"5x-3y=800, 4x-2y=800 -> x=400",Medium
Ratio & Proportion,"Rs 750 divide A, B, C in 8:5:2. Share of B?",100,200,250,300,C,(5/15)*750 = 250,Medium
Ratio & Proportion,Sub-triplicate ratio of 8:27?,2:3,4:9,1:3,08:27,A,cbrt(8):cbrt(27),Medium
Ratio & Proportion,"Coins of 1, 50p, 25p in 5:6:8. Total 210. Num of 1 rupee?",100,105,110,120,B,5x + 3x + 2x = 210 -> x=21,Hard
Ratio & Proportion,40% of A = 50% of B. A:B?,4:5,5:4,1:1,09:10,B,40A = 50B -> A/B = 5/4,Hard
Ratio & Proportion,Zinc:Copper = 9:11 in 100kg alloy. Copper amount?,45,55,65,75,B,(11/20)*100 = 55,Hard
Ratio & Proportion,"If (x+y):(x-y) = 4:1, then x^2:y^2?",25:9,5:3,16:1,4:1,A,x/y = 5/3 -> 25/9,Hard
Ratio & Proportion,Ages of P & Q in 5:7. 4 yrs ago was 3:5. P current age?,10,15,20,25,A,(5x-4)/(7x-4) = 3/5 -> x=2,Hard
Profit & Loss,"CP=200, SP=250, Profit %?",20%,25%,30%,50%,B,(50/200)*100 = 25%,Easy
Profit & Loss,"Buy for 50, sell for 40. Loss %?",10%,20%,25%,5%,B,(10/50)*100 = 20%,Easy
Profit & Loss,Profit is 20 on CP 100. Find SP.,110,120,130,140,B,100 + 20 = 120,Easy
Profit & Loss,Selling price of 10 items = CP of 12. Profit %?,10%,20%,25%,15%,B,(2/10)*100 = 20%,Easy
Profit & Loss,"MP=500, Discount=10%. SP?",400,450,475,490,B,500 - 50 = 450,Easy
Profit & Loss,Item sold for 198 at 10% profit. CP?,170,180,190,200,B,198/1.1 = 180,Medium
Profit & Loss,Two successive discounts 10% and 10%?,20%,19%,18%,21%,B,100 -> 90 -> 81 (19% off),Medium
Profit & Loss,"By selling 33m cloth, gain is SP of 11m. Profit %?",25%,33%,50%,100%,C,"11/(33-11) is wrong, it's 11/22",Medium
Profit & Loss,"CP of 20 = SP of X. If profit 25%, X is?",15,16,18,25,B,20/X = 1.25 -> X=16,Medium
Profit & Loss,Dishonest dealer sells at CP but uses 900g for 1kg. Gain %?,10%,11.11%,9%,12.50%,B,(100/900)*100 = 11.11%,Medium
Profit & Loss,"Buy 6 for Rs 5, sell 5 for Rs 6. Profit %?",11%,22%,44%,50%,C,(36-25)/25 * 100 = 44%,Hard
Profit & Loss,Marked price is 20% above CP. Disc 10%. Profit %?,8%,10%,12%,15%,A,100 -> 120 -> 108 (8% profit),Hard
Profit & Loss,Loss of 5% becomes 5% gain if SP increases by 10. CP?,50,100,150,200,B,10% = 10 -> 100% = 100,Hard
Profit & Loss,"A sells to B at 20% profit, B to C at 10% loss. C pays 108. A's CP?",100,110,120,130,A,X * 1.2 * 0.9 = 108 -> X=100,Hard
Profit & Loss,"If SP is doubled, profit triples. Profit %?",50%,100%,150%,200%,B,2SP-CP = 3(SP-CP) -> SP=2CP,Hard
SI & CI,SI on 1000 at 10% for 2 yrs?,100,200,300,400,B,1000102/100,Easy
SI & CI,"Principal 500, SI 50, Time 1 yr. Rate?",5%,10%,15%,20%,B,(50100)/(5001),Easy
SI & CI,"Amount = 1200, Principal = 1000. Interest?",100,200,300,400,B,1200 - 1000 = 200,Easy
SI & CI,"If rate 5%, time 2 yrs, SI is 20. Principal?",100,200,300,400,B,20100/(52) = 200,Easy
SI & CI,CI on 1000 at 10% for 1 yr (annual)?,100,110,121,200,A,Same as SI for 1st yr,Easy
SI & CI,Sum doubles itself in 5 yrs SI. Rate?,10%,20%,25%,50%,B,100/5 = 20%,Medium
SI & CI,CI on 1000 at 10% for 2 yrs?,200,210,221,250,B,1000(1.1)^2 - 1000 = 210,Medium
SI & CI,Difference between SI and CI on 1000 at 10% for 2 yrs?,5,10,15,20,B,210 - 200 = 10,Medium
SI & CI,At what rate will 1000 become 1331 in 3 yrs CI?,5%,10%,15%,20%,B,cbrt(1331/1000) = 1.1,Medium
SI & CI,SI for 3 yrs at 5% is 150. CI for same?,155,157.62,160,165,B,1000(1.05)^3 - 1000,Medium
SI & CI,Sum at CI doubles in 4 yrs. In how many yrs 8 times?,8,12,16,20,B,2^3 -> 4 * 3 = 12,Hard
SI & CI,"If SI on sum at 4% for 2 yrs is 80, CI is?",81.6,82,83,84,A,80 + (4% of 40) = 81.6,Hard
SI & CI,In how many yrs will 800 at 10% CI half-yearly become 926.10?,1,1.5,2,2.5,B,800(1.05)^n = 926.1 -> n=3 periods,Hard
SI & CI,Sum of 13000 divided in 2 parts such that SI are equal?,"5000, 8000","6000, 7000","6500, 6500","4000, 9000",A,Ratio depends on R & T,Hard
SI & CI,CI for 2nd yr on 1000 at 10%?,100,110,120,130,B,10% of 1100,Hard
Time & Work,"A does in 10 days, B in 15. Together?",5,6,7,8,B,(10*15)/25 = 6,Easy
Time & Work,A & B together in 4 days. A alone in 12. B alone?,4,6,8,10,B,(12*4)/(12-4) = 6,Easy
Time & Work,10 men can do in 20 days. 20 men?,5,10,15,20,B,(10*20)/20 = 10,Easy
Time & Work,A is twice as fast as B. Together in 12 days. A alone?,12,15,18,24,C,3 units/day * 12 = 36. A=2/day,Easy
Time & Work,"Pipe A fills in 2 hrs, B in 3 hrs. Together?",1,1.2,1.5,2,B,(2*3)/5 = 1.2,Easy
Time & Work,"A, B, C in 10, 12, 15 days. Together?",3,4,5,6,B,1/(1/10+1/12+1/15) = 4,Medium
Time & Work,A does 1/4 work in 5 days. Full work?,10,15,20,25,C,5 * 4 = 20,Medium
Time & Work,12 men or 18 women in 14 days. 8 men & 16 women?,7,8,9,10,C,Convert all to men or women,Medium
Time & Work,"A starts work, leaves after 2 days. B finishes rest?",4,5,6,7,C,Based on efficiency,Medium
Time & Work,"Pipe A fills in 10h, B empties in 15h. Net?",20,25,30,35,C,(10*15)/(15-10) = 30,Medium
Time & Work,20 men finish 1/3 work in 20 days. Rest in 25 days needs?,10 more,12 more,15 more,20 more,B,M1D1/W1 = M2D2/W2,Hard
Time & Work,"A, B, C can do in 20, 30, 60 days. A helped by B & C every 3rd day?",12,15,18,20,B,3-day cycle work = 1/5,Hard
Time & Work,A is 30% more efficient than B. B in 23 days. A in?,15,17.7,20,21,B,23 / 1.3 approx,Hard
Time & Work,4 men & 6 women in 8 days. 3 men & 7 women in 10 days. 10 women?,30,35,40,45,C,Calculate M vs W efficiency,Hard
Time & Work,"Pipe A fills in 20 min, B in 30 min. Both open, A closed after 8 min?",10,12,15,18,B,8/20 + 8/30 + x/30 = 1,Hard
Time & Distance,72 kmph in m/s?,15,20,25,30,B,72 * 5/18 = 20,Easy
Time & Distance,Cover 100m in 10s. Speed in kmph?,10,18,36,45,C,10 * 18/5 = 36,Easy
Time & Distance,"Dist 300km, Speed 60kmph. Time?",3h,4h,5h,6h,C,300 / 60 = 5,Easy
Time & Distance,Speed 10m/s. Dist in 1 min?,100m,500m,600m,1000m,C,10 * 60 = 600,Easy
Time & Distance,Car travels at 54 kmph. How far in 20 mins?,15km,18km,20km,22km,B,54 * (20/60) = 18,Easy
Time & Distance,"Avg speed: 40kmph first half, 60kmph second?",48,50,52,54,A,24060/100 = 48,Medium
Time & Distance,"A is twice as fast as B, B thrice as fast as C. C covers in 42m. A in?",7,14,21,28,A,Speed 6:3:1 -> Time 1:2:6,Medium
Time & Distance,"Thief at 10kmph, Police at 11kmph. Catch in how many mins if 100m gap?",5,6,7,8,B,0.1km / 1kmph = 0.1h = 6m,Medium
Time & Distance,"Walking 3/4 speed, man is 20m late. Usual time?",40,60,80,100,B,1/(4/3 - 1) * 20 = 60,Medium
Time & Distance,"Two cars 100km apart move towards each other at 20, 30 kmph. Meet in?",1h,2h,3h,4h,B,100 / (20+30) = 2,Medium
Time & Distance,"Sound travels 330m/s. Lightning seen, thunder 10s later. Dist?",1.1km,2.2km,3.3km,4.4km,C,330 * 10 = 3300m,Hard
Time & Distance,Aeroplane covers 240kmph in 5h. To cover same in 1 2/3h?,600,720,800,900,B,1200 / (5/3) = 720,Hard
Time & Distance,"Boy goes to school at 3kmph, returns at 2kmph. Total 5h. Distance?",5,6,7,8,B,x/3 + x/2 = 5 -> 5x=30,Hard
Time & Distance,"Excluding stoppages speed 54, including 45. Min/hr stop?",9,10,12,15,B,(54-45)/54 * 60 = 10,Hard
Time & Distance,"2 trains start same time from A & B at 60, 40 kmph. One travels 20km more. Dist A to B?",80,100,120,150,B,Difference in speed 20kmph,Hard
Problems on Ages,"A is 24, B is 6. After how many years A=2B?",10,12,15,18,B,"24+12=36, 6+12=18. 36=2*18",Easy
Problems on Ages,Ratio of ages of P & Q is 3:4. Sum is 28. P's age?,12,16,20,24,A,7x=28 -> x=4. 3*4=12,Easy
Problems on Ages,"Father is 3 times son's age. If father is 45, son is?",10,15,20,25,B,45/3 = 15,Easy
Problems on Ages,"A is 2 years older than B, B is twice C. Total 27. B age?",8,9,10,11,C,(2x+2)+2x+x = 27 -> 5x=25,Easy
Problems on Ages,"5 years ago, Ravi was 10. How old after 10 years from now?",15,20,25,30,C,"Now 15. After 10 yrs, 15+10=25",Easy
Problems on Ages,Age ratio 4:5. After 5 yrs it's 5:6. Current ages?,"20,25","24,30","16,20","12,15",A,"x=5. 45=20, 55=25",Medium
Problems on Ages,Average of 3 brothers is 15. Ages in 3:5:7. Youngest?,6,9,12,15,B,15x=45 -> x=3. 3*3=9,Medium
Problems on Ages,"A's age is 1/6 of Father's. After 10 yrs, Father is 40. A now?",5,6,7,8,A,Father now 30. A = 30/6 = 5,Medium
Problems on Ages,Product of ages of A & B is 240. If 2*A = B+4...,12,15,20,10,A,Solving quadratic equations,Medium
Problems on Ages,Ratio 10 years ago was 1:3. Now 1:2. Sum of ages?,60,80,90,100,C,(x-10)/(2x-10) = 1/3 -> x=20,Medium
Problems on Ages,"Mother is 24 yrs older than daughter. In 2 yrs, Mom is 2*D. Daughter now?",20,22,24,26,B,(x+24)+2 = 2(x+2) -> x=22,Hard
Problems on Ages,Ratio 6:5. 4 yrs ago was 5:4. Ratio after 12 yrs?,7:6,8:7,9:8,10:9,C,"x=4. Ages 24,20. +12 = 36:32",Hard
Problems on Ages,10 yrs ago A was half of B. Now ratio 3:4. Total age now?,30,35,40,45,B,(x-10)/(4x/3-10)=1/2 -> x=15,Hard
Problems on Ages,Hema's age 1/4 of mom's. Mom is 3*Sister. Sister is 20. Hema?,10,15,20,25,B,Mom=60. Hema=60/4=15,Hard
Problems on Ages,Sum of ages of 5 kids born at 3 yr intervals is 50. Youngest?,4,5,6,8,A,x+(x+3)...+(x+12)=50 -> 5x+30=50,Hard
Partnership,"A invests 2000, B invests 3000. Profit ratio?",2:3,3:2,1:1,4:9,A,Ratio of investments = 2000:3000,Easy
Partnership,A & B start with 5000 each. Profit 1000. A's share?,400,500,600,1000,B,Equal investment = Equal profit,Easy
Partnership,A starts with 1000. B joins after 6 months with 1000. Ratio?,1:1,2:1,1:2,3:2,B,100012 : 10006 = 2:1,Easy
Partnership,"A, B, C ratio 2:3:5. Profit 1000. B's share?",200,300,500,600,B,(3/10)*1000 = 300,Easy
Partnership,"A invests 1/3, B invests 1/2, C rest. C's ratio?",1/3,1/2,1/6,1/4,C,1 - (1/3 + 1/2) = 1/6,Easy
Partnership,"A (1200 for 1 yr), B (1500 for 8 months). Profit ratio?",1:1,6:5,5:6,4:5,B,120012 : 15008 = 144:120 = 6:5,Medium
Partnership,Rs 3500 profit. A:B ratio 2:3. How much B gets more than A?,500,700,1000,1400,B,1/5 * 3500 = 700,Medium
Partnership,A & B invest 4:5. After 3 months A withdraws 1/4. Ratio?,3:5,13:20,34:00:00,11:20,B,(43 + 39) : (5*12) = 39:60 = 13:20,Medium
Partnership,"A puts 600 for 5 months, B 500 for 6 months. Ratio?",1:1,5:6,6:5,2:3,A,3000 : 3000 = 1:1,Medium
Partnership,"Total capital 50000. A is 4000 more than B, B 5000 more than C. A ratio?",21:17:12,01:01:01,02:03:05,05:03:02,A,x + (x+5k) + (x+9k) = 50k,Medium
Partnership,A is working partner (20% salary). Rest profit ratio 2:3. Total profit 1000. B gets?,320,480,500,600,B,80% of 1000 = 800. 3/5 * 800 = 480,Hard
Partnership,A & B start. B joins after 4 months. Profit ratio 1:1. Capital ratio?,2:3,3:2,1:1,4:9,A,C112 = C28 -> C1/C2 = 8/12 = 2/3,Hard
Partnership,"A, B, C invest in 5:6:8. Time 3:2:5. Profit ratio?",15:12:40,05:06:08,01:01:01,15:18:40,A,53 : 62 : 8*5 = 15:12:40,Hard
Partnership,"A puts 1/6 capital for 1/6 time, B 1/3 for 1/3 time, C rest for full time. Ratio?",01:04:18,01:02:03,01:01:01,06:03:01,A,1/36 : 1/9 : (1/2)*1,Hard
Partnership,A & B invest 3:2. 5% profit to charity. A's share 855. Total profit?,1000,1500,2000,2500,B,0.95P * 3/5 = 855,Hard
P and C,Ways to arrange word 'CAT'?,3,6,9,12,B,3! = 321 = 6,Easy
P and C,Value of 5P2?,10,20,30,60,B,5*4 = 20,Easy
P and C,Value of 5C2?,10,20,30,60,A,(54)/(21) = 10,Easy
P and C,Ways to choose 2 people from 4?,4,6,8,12,B,4C2 = 6,Easy
P and C,Arrangement of word 'DOG' starts with D?,1,2,3,6,B,1 * 2! = 2,Easy
P and C,Ways to arrange 'APPLE'?,60,120,180,240,A,5! / 2! = 120/2 = 60,Medium
P and C,Ways to select 3 vowels from 5?,5,10,15,20,B,5C3 = 10,Medium
P and C,Circles possible through 3 non-collinear points?,1,2,3,Inf,A,Only 1 circle,Medium
P and C,Handshakes in a group of 10 people?,45,55,90,100,A,10C2 = 45,Medium
P and C,Ways to arrange 'LEADER' vowels always together?,72,144,288,360,A,(4! * 3!) / 2! = 72,Medium
P and C,Diagonals in a Decagon (10 sides)?,25,35,45,55,B,n(n-3)/2 = 35,Hard
P and C,"Committee of 5 from 6 men & 4 women, exactly 2 women?",120,180,210,240,A,6C3 * 4C2 = 20 * 6 = 120,Hard
P and C,Ways to arrange 'MATHEMATICS'?,Big,Small,Zero,None,A,11! / (2!2!2!),Hard
P and C,"Boxes 5, Balls 3. Ways to put balls in boxes (no limit)?",15,125,243,81,B,5^3 = 125,Hard
P and C,"Ways to form 4-digit numbers using 1,2,3,4,5 (no repeat)?",60,120,240,360,B,543*2 = 120,Hard
Probability,Probability of getting Head in a coin toss?,0,0.5,1,2,B,1/2 = 0.5,Easy
Probability,Prob of getting 7 on a dice?,0,1/6,1,0.5,A,Impossible event,Easy
Probability,Prob of drawing a Red card from deck?,1/4,1/2,1/13,1/52,B,26/52 = 1/2,Easy
Probability,Two coins tossed. Prob of 2 Heads?,0.25,0.5,0.75,1,A,1/4 = 0.25,Easy
Probability,Prob of picking a vowel from 'HELLO'?,1/5,2/5,3/5,4/5,B,E and O are 2 vowels out of 5,Easy
Probability,Dice thrown. Prob of even number?,1/2,1/3,1/6,1,A,3/6 = 1/2,Medium
Probability,Deck of 52. Prob of getting an Ace?,1/13,1/26,1/52,4/13,A,4/52 = 1/13,Medium
Probability,"Bag: 3 red, 2 blue. Prob of Red?",0.4,0.6,0.5,0.8,B,3/5 = 0.6,Medium
Probability,Two dice thrown. Prob of sum 7?,1/6,1/12,1/36,5/36,A,"(1,6),(2,5),(3,4)... = 6/36",Medium
Probability,Leap year. Prob of 53 Sundays?,1/7,2/7,3/7,53/366,B,2 odd days in leap year,Medium
Probability,3 coins tossed. Prob of at least 2 heads?,1/2,1/4,3/8,5/8,A,4/8 = 1/2,Hard
Probability,Prob that a non-leap year has 53 Sundays?,1/7,2/7,52/365,0,A,1 odd day in non-leap year,Hard
Probability,Two dice. Prob of sum being prime?,15/36,13/36,5/12,1/2,A,"Sums 2,3,5,7,11",Hard
Probability,Card drawn. Prob it's King or Heart?,4/13,17/52,16/52,1/13,C,(4+13-1)/52 = 16/52,Hard
Probability,"A can solve 75%, B 70%. Prob they contradict?",0.35,0.4,0.395,0.45,C,P(A)P(!B) + P(!A)P(B),Hard
Mensuration,Area of square with side 5cm?,10,20,25,30,C,5 * 5 = 25,Easy
Mensuration,"Perimeter of rectangle (L=10, B=5)?",15,25,30,50,C,2(10+5) = 30,Easy
Mensuration,Volume of cube with side 3?,9,18,27,36,C,3 * 3 * 3 = 27,Easy
Mensuration,"Area of triangle (Base=10, Height=5)?",25,50,75,100,A,1/2 * 10 * 5 = 25,Easy
Mensuration,"Circumference of circle (r=7, pi=22/7)?",22,44,88,154,B,2 * 22/7 * 7 = 44,Easy
Mensuration,Area of circle with radius 14?,154,308,616,1232,C,pi * 14 * 14 = 616,Medium
Mensuration,Surface area of sphere (r=7)?,154,308,616,1232,C,4 * pi * r^2 = 616,Medium
Mensuration,Diagonal of square with side 10?,10,14.14,20,100,B,10 * sqrt(2) = 14.14,Medium
Mensuration,"Radius of cylinder is 7, height 10. Volume?",770,1540,3080,440,B,pi * r^2 * h = 154 * 10 = 1540,Medium
Mensuration,"If side of square increases by 10%, area increases?",10%,20%,21%,100%,C,1.1 * 1.1 = 1.21,Medium
Mensuration,Ratio of volumes of two cubes is 8:27. Side ratio?,2:3,4:9,08:27,1:1,A,cbrt(8):cbrt(27) = 2:3,Hard
Mensuration,Surface area of cube is 150. Volume?,25,125,150,225,B,6a^2=150 -> a=5. 5^3=125,Hard
Mensuration,Length of longest pole in room (10x10x5)?,15,20,25,30,A,sqrt(10^2+10^2+5^2) = 15,Hard
Mensuration,"3 metal cubes (3,4,5cm) melted into one. Side?",6,8,10,12,A,cbrt(27+64+125) = 6,Hard
Mensuration,"Radius of wire is 1/3. If melted to same volume, length?",3x,6x,9x,27x,C,Volume pir^2h is constant,Hard
Alligation,Mix rice at 15/kg and 20/kg to get 18/kg?,2:3,3:2,1:1,4:5,A,(20-18):(18-15) = 2:3,Easy
Alligation,Ratio to mix water with milk to sell at CP?,1:5,01:10,1:4,Depends,A,"If profit is 20%, ratio 1:5",Easy
Alligation,20% sugar solution mixed with 50% to get 40%?,1:2,2:1,3:2,2:3,A,(50-40):(40-20) = 10:20 = 1:2,Easy
Alligation,40 liters milk. 4 liters water added. New ratio M:W?,10:1,01:10,9:1,4:1,A,40:4 = 10:1,Easy
Alligation,Mix two types of tea at Rs.60 and Rs.75 in 3:2 ratio. Price?,66,69,70,72,A,(603 + 752)/5 = 66,Easy
Alligation,Container has 80L milk. 8L replaced by water. Again done. Milk?,64.8,65,70,72,A,80 * (72/80)^2 = 64.8,Medium
Alligation,Ratio of milk & water in 2 vessels 5:2 and 8:5. Result 9:4?,7:2,2:7,3:5,5:3,A,Use fraction of milk 5/7 and 8/13,Medium
Alligation,"Avg age of class is 15. Boys 16, girls 13. Ratio B:G?",2:1,1:2,3:1,1:1,A,(15-13):(16-15) = 2:1,Medium
Alligation,"Rs.41 divided among 50 kids. Boy gets 90p, Girl 65p. Boys?",30,34,36,40,B,Use alligation on avg 82p,Medium
Alligation,Alloy A (Gold:Copper 7:2) and B (7:11). Equal mix ratio?,5:7,7:5,1:1,2:1,B,Fraction of Gold 7/9 and 7/18,Medium
Alligation,"Shopkeeper has 50kg rice. Part at 8% profit, rest 18%. Total 14%?",20,30,40,10,A,(18-14):(14-8) = 4:6 = 2:3,Hard
